1 綜合    ◎[八卦板]陪你一起關心勞基法修法!
2 籃球    ◎[NBA] NBA版徵選版主
3 閒談    ◎[希洽] 投票＆冬季活動進行中
4 學術    ◎[股板] 推發文前請閱讀置底板規
5 棒球    ◎[棒球] 2018起  不歡迎不到四行文
6 遊戲    ◎[LoL] 你才西黑!你全家都西黑!
7 男女    ◎[西斯] 徵文結果 x 年末年始
8 美容    ◎[美妝] 掏錢買單？只有自己能決定
9 聊天    ◎[女板] 理性討論 小心板規
10 資訊    ◎[通訊] paul40807/nocesst就任
11 線上    ◎[爐石] 
12 綜合    ◎[電影] 金球獎揭曉
13 車車    ◎[汽車] 徵選新板主
14 音樂    ◎[韓樂] 首爾歌謠大賞 樂透準備中
15 網購    ◎[網購] 板上還是禁止勸世推文的喔
16 韓國    ◎[韓星] 
17 工作    ◎[科技]  陪你一起關心勞基法修法!
18 省錢    ◎[省錢] 2018新年省大錢
19 心情    ◎[男女] 發文選個類別行不
20 家庭    ◎[媽寶] 願每一個寶貝平安長大
21 綜藝    ◎[韓綜] Show Me The 新板主!
22 聊天    ◎《表特板》意淫文字板規新修訂
23 旅遊    ◎冬季注意保暖防靜電 勿售樂園票
24 理財    ◎[信用卡] KOKO/Richart→銀行板
25 轉珠    ◎[神魔] 機械族來了！！
26 生二    ◎[媽佛] 快凍傷惹~.~
27 買賣    ◎[合購] 參加募資前請冷靜三思!!
28 型月    ◎[F/GO] 台版沒賣完的假貨給日版賣
29 娛樂    ◎          ＝ joke ＝
30 主機    ◎[PS4] 求推薦/建議請記得先爬文
31 韓劇    ◎[韓劇] 快來分享你喜愛的角色    
32 系統    ◎[iOS] …　…　…　…　…　…
33 NBA.    ◎ NBA影片版-無限期徵求版主
34 線上    ◎[天堂&M] 你是歐洲人or非洲人?
35 硬體    ◎[電蝦] 漏洞問題請多注意更新
36 婚姻    ◎[婚姻] 板主投票開始，大家快來投
37 經歷    ◎　８７８７８７８７
38 高雄    ◎[高雄] 大眾交通工具免費搭乘中
39 韓國    ◎[TWICE] 金唱片- 唱片部門
40 聯誼    ◎[歐兔] 發文前請先看置底板規喔
41 台南    ◎[台南] 2018了...中柱呢
42 射擊    ◎[絕地求生] 大吉大利 今晚吃雞
43 韓國    ◎想認識世界顏值冠軍嗎？在這
44 平台    ◎本板禁止合購代購買賣等金錢交易
45 日本    ◎[海賊] 板主徵選+891情報出
46 房屋    ◎[房板] 發文前看板規 注意分類
47 主機    ◎[NS] 任天堂を許すな
48 抓寶    ◎[PMGO] 新年快樂～徵求進板畫面！
49 職場    ◎[職場] 工作甘苦談
50 台中    ◎[台中]交易類別禁止發文 詳見置底
51 日劇    ◎[日劇] 這個收視很冬天
52 資訊    ◎[數位貨幣] It's over 15000!!
53 頻道    ◎[泣] 一家人 → 金家好媳婦
54 線上    ◎[WoW] 8.0決戰愛澤拉斯-16格包 掰
55 美容    ◎[美保] SunDing 已離職 ＠＠ 
56 轉珠    ◎[P＆D] 龍族拼圖
57 買賣    ◎[硬體買賣] 發文前請詳閱板規
58 綜合    ◎AV女優板 清新、優質,神人照格式
59 臺灣    ◎五月天。彼個有你們的暗眠;)
60 玄幻    ◎[玄幻] 轉錄文章須附上二十字心得
